nohup: ignoring input
t=2025-10-29T04:40:49+0530 lvl=info msg="no configuration paths supplied"
t=2025-10-29T04:40:49+0530 lvl=info msg="using configuration at default config path" path=/home/nitesh/.config/ngrok/ngrok.yml
t=2025-10-29T04:40:49+0530 lvl=info msg="open config file" path=/home/nitesh/.config/ngrok/ngrok.yml err=nil
t=2025-10-29T04:40:49+0530 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2025-10-29T04:40:49+0530 lvl=info msg="client session established" obj=tunnels.session
t=2025-10-29T04:40:49+0530 lvl=info msg="tunnel session started" obj=tunnels.session
t=2025-10-29T04:58:54+0530 lvl=info msg="join connections" obj=join id=047c1c4659e7 l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:52966
t=2025-10-29T04:58:54+0530 lvl=info msg="join connections" obj=join id=4dd50a472744 l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:52966
t=2025-10-29T04:59:33+0530 lvl=info msg="join connections" obj=join id=03386c677f1c l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:53159
t=2025-10-29T04:59:38+0530 lvl=info msg="join connections" obj=join id=df698d571e4e l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:57736
t=2025-10-29T04:59:40+0530 lvl=info msg="join connections" obj=join id=d8524af3bdc7 l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:57736
t=2025-10-29T04:59:41+0530 lvl=info msg="join connections" obj=join id=9e08b2b64cde l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:57736
t=2025-10-29T04:59:41+0530 lvl=info msg="join connections" obj=join id=dcd8d6ffd985 l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:57736
t=2025-10-29T04:59:50+0530 lvl=info msg="join connections" obj=join id=61fc4d913f2d l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:59271
t=2025-10-29T05:01:05+0530 lvl=info msg="join connections" obj=join id=bf73c3bce1e2 l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:49669
t=2025-10-29T05:01:13+0530 lvl=info msg="join connections" obj=join id=1732299660ae l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:50441
t=2025-10-29T05:08:43+0530 lvl=info msg="join connections" obj=join id=77eec9d69ac7 l=127.0.0.1:8080 r=140.82.115.24:46020
t=2025-10-29T05:09:20+0530 lvl=info msg="join connections" obj=join id=2b3bd2036488 l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:61973
t=2025-10-29T05:09:28+0530 lvl=info msg="join connections" obj=join id=064dba41e6e4 l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:61973
t=2025-10-29T05:09:38+0530 lvl=info msg="join connections" obj=join id=9b7f33a583b8 l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:54790
t=2025-10-29T05:09:38+0530 lvl=info msg="join connections" obj=join id=9e7da310ccb9 l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:54790
t=2025-10-29T05:09:39+0530 lvl=info msg="join connections" obj=join id=79ae32637ae6 l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:54790
t=2025-10-29T05:09:51+0530 lvl=info msg="join connections" obj=join id=cf73df71609f l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:55770
t=2025-10-29T05:10:01+0530 lvl=info msg="join connections" obj=join id=9f915d3ee5d0 l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:54708
t=2025-10-29T05:10:08+0530 lvl=info msg="join connections" obj=join id=299e4382a625 l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:62583
t=2025-10-29T05:11:39+0530 lvl=info msg="join connections" obj=join id=d41dcb27df56 l=127.0.0.1:8080 r=162.158.227.207:28695
t=2025-10-29T05:11:39+0530 lvl=info msg="join connections" obj=join id=80cc1c8cec1d l=127.0.0.1:8080 r=172.70.218.188:58487
t=2025-10-29T05:11:40+0530 lvl=info msg="join connections" obj=join id=2f10deaa456b l=127.0.0.1:8080 r=162.158.227.207:42315
t=2025-10-29T05:14:41+0530 lvl=info msg="join connections" obj=join id=4aa46afb0bb5 l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:62119
t=2025-10-29T05:14:43+0530 lvl=info msg="join connections" obj=join id=d5de9c89b0ec l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:62119
t=2025-10-29T05:15:03+0530 lvl=info msg="join connections" obj=join id=d55ca5b3d4d1 l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:59649
t=2025-10-29T05:15:13+0530 lvl=info msg="join connections" obj=join id=06965d01afb6 l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:59649
t=2025-10-29T05:15:17+0530 lvl=info msg="join connections" obj=join id=b9722105c635 l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:62828
t=2025-10-29T05:15:17+0530 lvl=info msg="join connections" obj=join id=653e9f1d037e l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:62828
t=2025-10-29T05:15:20+0530 lvl=info msg="join connections" obj=join id=5da034b4e4eb l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:59382
t=2025-10-29T05:15:21+0530 lvl=info msg="join connections" obj=join id=08ad2f2a853b l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:59382
t=2025-10-29T05:15:50+0530 lvl=info msg="join connections" obj=join id=70a87c1d68a7 l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:61406
t=2025-10-29T05:15:50+0530 lvl=info msg="join connections" obj=join id=cb71b76be0bf l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:61406
t=2025-10-29T05:16:03+0530 lvl=info msg="join connections" obj=join id=61d8d758d9b7 l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:58497
t=2025-10-29T05:16:11+0530 lvl=info msg="join connections" obj=join id=e2a713f05de0 l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:58497
t=2025-10-29T05:16:22+0530 lvl=info msg="join connections" obj=join id=8a791ed75f3f l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:53424
